Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
capsid protein [Non-human primate Adeno-associated virus],Non-human primate Adeno-associated virus,941,941,99%,0.0,64.11,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAO88209.1?report=genbank&log$=prottop&blast_rank=25&RID=3MS32MHJ01R"",""AAO88209.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,941,941,99%,0.0,63.98,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACB55314.1?report=genbank&log$=prottop&blast_rank=26&RID=3MS32MHJ01R"",""ACB55314.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,940,940,99%,0.0,64.25,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACB55313.1?report=genbank&log$=prottop&blast_rank=27&RID=3MS32MHJ01R"",""ACB55313.1"")"
capsid protein [Adeno-associated virus - 3],Adeno-associated virus - 3,940,940,99%,0.0,63.59,736,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_043941.1?report=genbank&log$=prottop&blast_rank=28&RID=3MS32MHJ01R"",""NP_043941.1"")"
capsid protein [Non-human primate Adeno-associated virus],Non-human primate Adeno-associated virus,939,939,99%,0.0,64.25,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAO88208.1?report=genbank&log$=prottop&blast_rank=29&RID=3MS32MHJ01R"",""AAO88208.1"")"
capsid protein [Recombinant Adeno associated virus vector KP2],Recombinant Adeno associated virus vector KP2,939,939,99%,0.0,63.65,737,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QFR04620.1?report=genbank&log$=prottop&blast_rank=30&RID=3MS32MHJ01R"",""QFR04620.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,939,939,99%,0.0,63.62,736,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACB55303.1?report=genbank&log$=prottop&blast_rank=31&RID=3MS32MHJ01R"",""ACB55303.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,938,938,99%,0.0,64.11,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAS99244.1?report=genbank&log$=prottop&blast_rank=32&RID=3MS32MHJ01R"",""AAS99244.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,938,938,99%,0.0,63.62,736,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACB55302.1?report=genbank&log$=prottop&blast_rank=33&RID=3MS32MHJ01R"",""ACB55302.1"")"
Adeno-associated virus strain AAVhu.37 capsid icosahedral structure [Adeno-associated virus],Adeno-associated virus,938,938,99%,0.0,64.11,737,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/6U95_A?report=genbank&log$=prottop&blast_rank=34&RID=3MS32MHJ01R"",""6U95_A"")"
capsid protein [Adeno-associated virus - 1],Adeno-associated virus - 1,938,938,99%,0.0,63.62,736,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_049542.1?report=genbank&log$=prottop&blast_rank=35&RID=3MS32MHJ01R"",""NP_049542.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,938,938,99%,0.0,64.20,729,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACB55312.1?report=genbank&log$=prottop&blast_rank=36&RID=3MS32MHJ01R"",""ACB55312.1"")"
capsid protein [Adeno-associated virus],Adeno-associated virus,938,938,99%,0.0,63.75,735,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AKU89603.1?report=genbank&log$=prottop&blast_rank=37&RID=3MS32MHJ01R"",""AKU89603.1"")"
capsid protein [Non-human primate Adeno-associated virus],Non-human primate Adeno-associated virus,938,938,99%,0.0,64.11,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAO88201.1?report=genbank&log$=prottop&blast_rank=38&RID=3MS32MHJ01R"",""AAO88201.1"")"
capsid protein [Adeno-associated virus VR-195],Adeno-associated virus VR-195,937,937,99%,0.0,63.49,736,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ABA71699.1?report=genbank&log$=prottop&blast_rank=39&RID=3MS32MHJ01R"",""ABA71699.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,937,937,99%,0.0,64.11,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAS99285.1?report=genbank&log$=prottop&blast_rank=40&RID=3MS32MHJ01R"",""AAS99285.1"")"
capsid protein [Simian Adeno-associated virus],Simian Adeno-associated virus,937,937,99%,0.0,63.49,736,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/APD78414.1?report=genbank&log$=prottop&blast_rank=41&RID=3MS32MHJ01R"",""APD78414.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,937,937,99%,0.0,63.48,737,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACB55315.1?report=genbank&log$=prottop&blast_rank=42&RID=3MS32MHJ01R"",""ACB55315.1"")"
capsid protein [Non-human primate Adeno-associated virus],Non-human primate Adeno-associated virus,937,937,99%,0.0,63.34,737,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAO88206.1?report=genbank&log$=prottop&blast_rank=43&RID=3MS32MHJ01R"",""AAO88206.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,937,937,99%,0.0,63.49,736,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACB55301.1?report=genbank&log$=prottop&blast_rank=44&RID=3MS32MHJ01R"",""ACB55301.1"")"
capsid protein VP1 [Adeno-associated virus - 6],Adeno-associated virus - 6,937,937,99%,0.0,63.49,736,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAB95450.1?report=genbank&log$=prottop&blast_rank=45&RID=3MS32MHJ01R"",""AAB95450.1"")"
capsid protein [Adeno-associated virus 10],Adeno-associated virus 10,937,937,99%,0.0,63.86,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAT46337.1?report=genbank&log$=prottop&blast_rank=46&RID=3MS32MHJ01R"",""AAT46337.1"")"
capsid protein [Adeno-associated virus VR-355],Adeno-associated virus VR-355,936,936,99%,0.0,63.36,736,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ABA71701.1?report=genbank&log$=prottop&blast_rank=47&RID=3MS32MHJ01R"",""ABA71701.1"")"
capsid protein [Adeno-associated virus],Adeno-associated virus,936,936,99%,0.0,64.11,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AKU89598.1?report=genbank&log$=prottop&blast_rank=48&RID=3MS32MHJ01R"",""AKU89598.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,936,936,99%,0.0,63.84,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACB55316.1?report=genbank&log$=prottop&blast_rank=49&RID=3MS32MHJ01R"",""ACB55316.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,936,936,99%,0.0,63.71,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAS99254.1?report=genbank&log$=prottop&blast_rank=50&RID=3MS32MHJ01R"",""AAS99254.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,936,936,99%,0.0,63.49,736,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACB55310.1?report=genbank&log$=prottop&blast_rank=51&RID=3MS32MHJ01R"",""ACB55310.1"")"
capsid protein [Non-human primate Adeno-associated virus],Non-human primate Adeno-associated virus,936,936,99%,0.0,64.06,729,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAO88186.1?report=genbank&log$=prottop&blast_rank=52&RID=3MS32MHJ01R"",""AAO88186.1"")"
capsid protein [Non-human primate Adeno-associated virus],Non-human primate Adeno-associated virus,936,936,99%,0.0,64.06,729,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAO88184.1?report=genbank&log$=prottop&blast_rank=53&RID=3MS32MHJ01R"",""AAO88184.1"")"
capsid protein [Non-human primate Adeno-associated virus],Non-human primate Adeno-associated virus,936,936,99%,0.0,63.93,733,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAO88190.1?report=genbank&log$=prottop&blast_rank=54&RID=3MS32MHJ01R"",""AAO88190.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,936,936,99%,0.0,63.34,737,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAS99246.1?report=genbank&log$=prottop&blast_rank=55&RID=3MS32MHJ01R"",""AAS99246.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,935,935,99%,0.0,63.94,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAS99290.1?report=genbank&log$=prottop&blast_rank=56&RID=3MS32MHJ01R"",""AAS99290.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,935,935,99%,0.0,63.98,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAS99288.1?report=genbank&log$=prottop&blast_rank=57&RID=3MS32MHJ01R"",""AAS99288.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,935,935,99%,0.0,63.34,737,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAS99258.1?report=genbank&log$=prottop&blast_rank=58&RID=3MS32MHJ01R"",""AAS99258.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,935,935,99%,0.0,63.58,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAS99248.1?report=genbank&log$=prottop&blast_rank=59&RID=3MS32MHJ01R"",""AAS99248.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,935,935,99%,0.0,63.71,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAS99255.1?report=genbank&log$=prottop&blast_rank=60&RID=3MS32MHJ01R"",""AAS99255.1"")"
capsid protein [Non-human primate Adeno-associated virus],Non-human primate Adeno-associated virus,934,934,99%,0.0,64.06,729,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAO88185.1?report=genbank&log$=prottop&blast_rank=61&RID=3MS32MHJ01R"",""AAO88185.1"")"
capsid protein VP1 [Adeno-associated virus 9],Adeno-associated virus 9,934,934,99%,0.0,63.04,736,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAS99264.1?report=genbank&log$=prottop&blast_rank=62&RID=3MS32MHJ01R"",""AAS99264.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,934,934,99%,0.0,63.98,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAS99312.1?report=genbank&log$=prottop&blast_rank=63&RID=3MS32MHJ01R"",""AAS99312.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,934,934,99%,0.0,63.22,736,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAS99296.1?report=genbank&log$=prottop&blast_rank=64&RID=3MS32MHJ01R"",""AAS99296.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,933,933,99%,0.0,63.84,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACB55311.1?report=genbank&log$=prottop&blast_rank=65&RID=3MS32MHJ01R"",""ACB55311.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,933,933,99%,0.0,63.58,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAS99250.1?report=genbank&log$=prottop&blast_rank=66&RID=3MS32MHJ01R"",""AAS99250.1"")"
capsid protein [Non-human primate Adeno-associated virus],Non-human primate Adeno-associated virus,932,932,99%,0.0,63.71,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAO88193.1?report=genbank&log$=prottop&blast_rank=67&RID=3MS32MHJ01R"",""AAO88193.1"")"
capsid protein [synthetic construct],synthetic construct,932,932,99%,0.0,62.72,743,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ASK12222.1?report=genbank&log$=prottop&blast_rank=68&RID=3MS32MHJ01R"",""ASK12222.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,932,932,99%,0.0,63.58,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAS99257.1?report=genbank&log$=prottop&blast_rank=69&RID=3MS32MHJ01R"",""AAS99257.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,932,932,99%,0.0,63.98,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAS99289.1?report=genbank&log$=prottop&blast_rank=70&RID=3MS32MHJ01R"",""AAS99289.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,932,932,99%,0.0,63.71,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAS99259.1?report=genbank&log$=prottop&blast_rank=71&RID=3MS32MHJ01R"",""AAS99259.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,932,932,99%,0.0,63.39,736,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAS99245.1?report=genbank&log$=prottop&blast_rank=72&RID=3MS32MHJ01R"",""AAS99245.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,932,932,99%,0.0,63.98,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAS99243.1?report=genbank&log$=prottop&blast_rank=73&RID=3MS32MHJ01R"",""AAS99243.1"")"
VP1 [synthetic construct],synthetic construct,931,931,99%,0.0,62.72,743,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ALU85156.1?report=genbank&log$=prottop&blast_rank=74&RID=3MS32MHJ01R"",""ALU85156.1"")"
capsid protein [synthetic construct],synthetic construct,931,931,99%,0.0,62.72,743,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJA10619.1?report=genbank&log$=prottop&blast_rank=75&RID=3MS32MHJ01R"",""QJA10619.1"")"
capsid protein [Non-human primate Adeno-associated virus],Non-human primate Adeno-associated virus,931,931,99%,0.0,63.66,733,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAO88198.1?report=genbank&log$=prottop&blast_rank=76&RID=3MS32MHJ01R"",""AAO88198.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,931,931,99%,0.0,63.44,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAS99251.1?report=genbank&log$=prottop&blast_rank=77&RID=3MS32MHJ01R"",""AAS99251.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,931,931,99%,0.0,63.44,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAS99286.1?report=genbank&log$=prottop&blast_rank=78&RID=3MS32MHJ01R"",""AAS99286.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,931,931,99%,0.0,63.07,737,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAS99252.1?report=genbank&log$=prottop&blast_rank=79&RID=3MS32MHJ01R"",""AAS99252.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,931,931,99%,0.0,63.71,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAS99311.1?report=genbank&log$=prottop&blast_rank=80&RID=3MS32MHJ01R"",""AAS99311.1"")"
capsid protein [synthetic construct],synthetic construct,931,931,99%,0.0,62.72,743,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJA10621.1?report=genbank&log$=prottop&blast_rank=81&RID=3MS32MHJ01R"",""QJA10621.1"")"
capsid protein [synthetic construct],synthetic construct,931,931,99%,0.0,62.72,743,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJA10620.1?report=genbank&log$=prottop&blast_rank=82&RID=3MS32MHJ01R"",""QJA10620.1"")"
VP1 [synthetic construct],synthetic construct,931,931,99%,0.0,62.72,743,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ALU85158.1?report=genbank&log$=prottop&blast_rank=83&RID=3MS32MHJ01R"",""ALU85158.1"")"
capsid protein [synthetic construct],synthetic construct,931,931,99%,0.0,62.58,743,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJA10622.1?report=genbank&log$=prottop&blast_rank=84&RID=3MS32MHJ01R"",""QJA10622.1"")"
capsid protein [Adeno-associated virus],Adeno-associated virus,930,930,99%,0.0,64.83,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AKU89597.1?report=genbank&log$=prottop&blast_rank=85&RID=3MS32MHJ01R"",""AKU89597.1"")"
capsid protein [synthetic construct],synthetic construct,930,930,99%,0.0,62.72,743,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJA10615.1?report=genbank&log$=prottop&blast_rank=86&RID=3MS32MHJ01R"",""QJA10615.1"")"
capsid protein [Non-human primate Adeno-associated virus],Non-human primate Adeno-associated virus,930,930,99%,0.0,63.58,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAO88195.1?report=genbank&log$=prottop&blast_rank=87&RID=3MS32MHJ01R"",""AAO88195.1"")"
capsid protein [synthetic construct],synthetic construct,930,930,99%,0.0,62.58,743,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJA10623.1?report=genbank&log$=prottop&blast_rank=88&RID=3MS32MHJ01R"",""QJA10623.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,930,930,99%,0.0,63.71,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAS99242.1?report=genbank&log$=prottop&blast_rank=89&RID=3MS32MHJ01R"",""AAS99242.1"")"
capsid protein [Non-human primate Adeno-associated virus],Non-human primate Adeno-associated virus,929,929,99%,0.0,63.39,733,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAO88200.1?report=genbank&log$=prottop&blast_rank=90&RID=3MS32MHJ01R"",""AAO88200.1"")"
capsid protein [Non-human primate Adeno-associated virus],Non-human primate Adeno-associated virus,929,929,99%,0.0,63.31,728,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAO88192.1?report=genbank&log$=prottop&blast_rank=91&RID=3MS32MHJ01R"",""AAO88192.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,929,929,99%,0.0,62.94,737,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAS99253.1?report=genbank&log$=prottop&blast_rank=92&RID=3MS32MHJ01R"",""AAS99253.1"")"
VP1 [synthetic construct],synthetic construct,929,929,99%,0.0,62.58,743,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ALU85157.1?report=genbank&log$=prottop&blast_rank=93&RID=3MS32MHJ01R"",""ALU85157.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,929,929,100%,0.0,63.27,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAS99249.1?report=genbank&log$=prottop&blast_rank=94&RID=3MS32MHJ01R"",""AAS99249.1"")"
capsid protein [synthetic construct],synthetic construct,929,929,99%,0.0,62.58,743,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ASK12221.1?report=genbank&log$=prottop&blast_rank=95&RID=3MS32MHJ01R"",""ASK12221.1"")"
capsid protein [synthetic construct],synthetic construct,929,929,99%,0.0,62.58,743,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJA10618.1?report=genbank&log$=prottop&blast_rank=96&RID=3MS32MHJ01R"",""QJA10618.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,929,929,99%,0.0,63.22,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAS99247.1?report=genbank&log$=prottop&blast_rank=97&RID=3MS32MHJ01R"",""AAS99247.1"")"
capsid protein [Non-human primate Adeno-associated virus],Non-human primate Adeno-associated virus,928,928,99%,0.0,63.43,731,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAO88196.1?report=genbank&log$=prottop&blast_rank=98&RID=3MS32MHJ01R"",""AAO88196.1"")"
capsid protein [synthetic construct],synthetic construct,928,928,99%,0.0,62.58,743,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJA10616.1?report=genbank&log$=prottop&blast_rank=99&RID=3MS32MHJ01R"",""QJA10616.1"")"
capsid protein VP1 [Adeno-associated virus],Adeno-associated virus,927,927,99%,0.0,63.17,728,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACB55306.1?report=genbank&log$=prottop&blast_rank=100&RID=3MS32MHJ01R"",""ACB55306.1"")"



		


